"('1001', '0')","('1002', '0')","('1003', '0')","('1004', '0')","('1005', '0')","('1006', '0')","('1007', '0')","('1008', '0')","('1009', '0')","('1010', '0')","('1011', '0')","('1012', '0')","('1013', '0')","('1014', '0')","('1015', '0')","('1016', '0')","('1017', '0')","('1018', '0')","('1019', '0')","('1020', '0')","('1021', '0')","('1022', '0')","('1023', '0')","('1024', '0')","('1025', '0')","('1026', '0')","('1027', '0')","('1028', '0')","('1029', '0')","('1030', '0')","('1031', '0')","('1032', '0')","('1033', '0')","('1034', '0')","('1035', '0')","('1036', '0')",gen
48.79749717,24.60102709,14.38706834,166.68586007,49.48893169,97.40166393,68.66909661,116.74345426,53.36572866,136.25097384,71.84126553,26.67135357,100.4140889,11.07849642,47.79609339,74.89107112,128.76024722,151.43974473,70.0676172,96.60080391,68.59884187,128.10611731,164.14399233,24.54519115,112.65761759,46.91404045,37.29496918,124.43074611,12.39218197,22.57104874,30.34808738,14.6356553,92.74980305,116.30152382,88.20396395,27.29083385,0
54.87636982,48.12849852,167.79915775,8.40657238,22.19579599,11.34071113,47.53166594,135.33755522,24.37199255,107.86680255,71.74549756,69.99248046,111.91598126,43.98281648,76.27653698,99.44744149,77.60209921,251.40886903,63.24352159,20.66964483,73.37998018,17.16152724,113.9977049,48.73741754,64.80063061,107.6108975,11.96911043,152.38504924,43.05990609,33.09310623,66.15982601,5.7525438,125.05728467,54.98883216,123.51071422,33.30309773,0
65.80369159,34.49519012,86.00109611,90.68415174,60.22977182,86.16121225,68.17149975,66.95025681,50.66033474,77.52398322,16.87322123,211.32263573,55.32207019,37.64955558,217.84621645,57.04444019,3.26604039,132.87108915,26.30162031,36.29145222,72.77081821,91.38257146,32.41718285,96.08986989,15.89826484,46.29440136,40.97488339,58.56410708,18.07653025,10.379534,30.92614238,29.44684533,84.44331776,111.68020405,81.07636581,69.94222212,0
65.30142763,68.30467407,138.22992836,75.50346017,132.91019168,26.26697914,64.26338993,43.93984934,57.45154985,83.62688033,80.00688478,60.27831994,56.57231329,113.93269162,48.08170723,76.74612829,140.11528214,119.96824007,96.83885932,100.85558103,84.07333217,75.73041427,7.78886858,73.59430215,93.93459879,14.86460424,140.45608494,61.1859823,5.11764559,56.26781987,48.5750618,129.41579165,83.61473089,197.5799342,80.62984366,73.68285066,0
78.27307324,176.11903906,41.04498301,34.21462026,43.57828154,36.52459531,79.10281746,83.27161196,56.82417801,81.12762311,24.25863202,25.1231813,40.2352403,163.41562054,142.11224441,126.89881346,78.34221168,94.00329325,25.66419171,36.65078578,112.12041559,55.84506646,33.21794699,27.36526875,111.57776251,98.14374947,75.36051699,10.73507569,71.55035396,5.50622936,11.51403678,53.58511583,102.23790456,19.56849171,91.76527065,96.91988122,0
36.29995283,54.49989024,26.76352852,14.86810397,56.41050541,48.07214678,55.61405568,4.51549994,122.96639349,39.72204063,112.15390332,83.73974375,51.91903562,43.48419081,140.10393254,30.3639934,38.29484558,118.93815025,87.7535543,26.9215732,140.23370001,32.89130331,65.65269045,71.90699621,56.56600235,49.46281668,50.55153183,22.15486162,10.81444897,5.24418156,15.0618153,44.34752409,68.755496,140.39181495,110.96299591,50.84735592,0
11.65281358,184.03047836,97.1034357,61.62921176,43.17332101,122.2889394,92.86586202,205.25093431,78.27327809,142.67742137,108.82318662,19.7722157,72.93056787,14.79849661,57.41211641,49.68850574,74.39603665,10.7373746,76.07660008,67.69576036,9.12460918,71.73522521,29.18393927,60.30686258,18.25461188,103.15329961,13.19705758,11.70779534,17.70136331,60.86992884,10.31474095,13.77747852,40.09797359,24.19026601,70.17564295,69.53724229,0
54.65473122,101.71583987,92.10995006,163.73009545,17.72119663,39.93026566,71.70381835,121.88457915,9.69254647,38.88129976,183.02929629,41.81766367,139.84378311,97.52739949,142.66501288,69.06610721,61.53667945,73.59563102,34.23079319,17.01849248,49.81090931,34.12664542,48.08535435,51.61399683,42.86940146,38.3138329,12.43578015,7.6589942,34.56277088,121.80643487,67.42045359,142.37112214,12.00349957,225.86771374,26.74290669,42.30287358,0
58.5102329,82.62005286,14.78311398,21.64077226,198.74569027,66.00745978,101.94045262,53.02111441,22.84266545,117.9751415,102.90372586,88.7757912,122.9246486,148.31886032,72.39730724,12.93604961,73.54738668,135.96422288,149.96744673,76.41816409,32.13625062,61.37194088,79.00833604,48.68389506,21.57168691,24.67251205,48.94133473,57.45108982,94.17237102,91.91634132,121.47811053,9.43849808,66.66705604,73.19223466,123.25971893,176.69952142,0
22.59768304,92.30078016,64.91212222,27.64632682,13.77194311,199.70120594,54.35205,48.79784772,204.25444508,117.2529466,37.70601181,30.76694389,138.6700114,9.09554992,51.63300159,44.02740666,35.49101391,70.57881538,104.44958064,21.20191291,114.73296879,65.54066992,28.18262644,52.57897529,193.69944555,51.04744417,166.37370075,132.91561643,35.23574786,22.82976377,73.53022231,77.36652951,64.36206294,74.27603017,60.23259661,10.11828472,0
